Zeit	51257426804 (kW)
Gesamt in kW	3461839,128
Gesachätzt in kWh	865459,782
0,00	88,048 €
900,00	89,188 €
1800,00	89,760 €
2700,00	88,456 €
3600,00	89,352 €
4500,00	89,352 €
5400,00	88,944 €
6300,00	89,188 €
7200,00	88,780 €
8100,00	90,496 €
9000,00	89,352 €
9900,00	88,616 €
10800,00	88,536 €
11700,00	90,412 €
12600,00	91,228 €
13500,00	90,332 €
14400,00	91,720 €
15300,00	89,108 €
16200,00	88,536 €
17100,00	91,800 €
18000,00	90,004 €
18900,00	88,372 €
19800,00	90,576 €
20700,00	116,444 €
21600,00	109,588 €
22500,00	110,976 €
23400,00	111,548 €
24300,00	109,100 €
25200,00	110,404 €
26100,00	111,140 €
27000,00	108,772 €
27900,00	108,936 €
28800,00	112,036 €
29700,00	109,016 €
30600,00	108,772 €
31500,00	113,180 €
32400,00	109,588 €
33300,00	109,344 €
34200,00	111,956 €
35100,00	112,772 €
36000,00	110,080 €
36900,00	111,548 €
37800,00	113,344 €
38700,00	110,896 €
39600,00	109,996 €
40500,00	110,976 €
41400,00	111,140 €
42300,00	109,180 €
43200,00	110,160 €
44100,00	108,608 €
45000,00	111,140 €
45900,00	109,672 €
46800,00	108,448 €
47700,00	110,732 €
48600,00	109,832 €
49500,00	108,608 €
50400,00	109,996 €
51300,00	110,648 €
52200,00	108,120 €
53100,00	108,856 €
54000,00	111,792 €
54900,00	108,040 €
55800,00	109,180 €
56700,00	111,140 €
57600,00	108,120 €
58500,00	108,772 €
59400,00	112,280 €
60300,00	108,284 €
61200,00	108,936 €
62100,00	109,996 €
63000,00	110,812 €
63900,00	109,180 €
64800,00	109,996 €
65700,00	109,016 €
66600,00	114,484 €
67500,00	110,324 €
68400,00	109,016 €
69300,00	109,916 €
70200,00	110,404 €
71100,00	108,692 €
72000,00	110,568 €
72900,00	109,996 €
73800,00	109,916 €
74700,00	110,812 €
75600,00	109,832 €
76500,00	109,588 €
77400,00	110,812 €
78300,00	109,672 €
79200,00	89,188 €
80100,00	87,800 €
81000,00	90,904 €
81900,00	89,760 €
82800,00	87,720 €
83700,00	89,840 €
84600,00	90,332 €
85500,00	88,048 €
86400,00	88,372 €
87300,00	91,392 €
88200,00	88,616 €
89100,00	88,128 €
90000,00	89,432 €
90900,00	90,168 €
91800,00	87,312 €
92700,00	88,944 €
93600,00	89,024 €
94500,00	87,720 €
95400,00	88,944 €
96300,00	90,004 €
97200,00	88,780 €
98100,00	89,272 €
99000,00	87,800 €
99900,00	89,352 €
100800,00	88,700 €
101700,00	88,128 €
102600,00	88,616 €
103500,00	90,088 €
104400,00	89,188 €
105300,00	87,640 €
106200,00	91,964 €
107100,00	114,728 €
108000,00	109,016 €
108900,00	112,120 €
109800,00	110,160 €
110700,00	108,692 €
111600,00	111,140 €
112500,00	110,732 €
113400,00	108,364 €
114300,00	109,424 €
115200,00	112,036 €
116100,00	108,364 €
117000,00	109,424 €
117900,00	109,672 €
118800,00	113,752 €
119700,00	110,080 €
120600,00	109,752 €
121500,00	110,324 €
122400,00	108,936 €
123300,00	109,588 €
124200,00	109,588 €
125100,00	108,936 €
126000,00	109,752 €
126900,00	109,996 €
127800,00	109,672 €
128700,00	109,344 €
129600,00	108,772 €
130500,00	110,812 €
131400,00	109,424 €
132300,00	108,040 €
133200,00	112,120 €
134100,00	108,936 €
135000,00	108,040 €
135900,00	112,036 €
136800,00	108,772 €
137700,00	108,448 €
138600,00	109,508 €
139500,00	110,080 €
140400,00	108,772 €
141300,00	109,588 €
142200,00	110,404 €
143100,00	108,772 €
144000,00	109,752 €
144900,00	109,832 €
145800,00	109,832 €
146700,00	108,772 €
147600,00	110,404 €
148500,00	110,160 €
149400,00	108,608 €
150300,00	111,140 €
151200,00	109,832 €
152100,00	108,528 €
153000,00	110,896 €
153900,00	109,996 €
154800,00	108,528 €
155700,00	110,080 €
156600,00	111,140 €
157500,00	108,284 €
158400,00	109,996 €
159300,00	110,976 €
160200,00	108,856 €
161100,00	109,832 €
162000,00	110,976 €
162900,00	109,264 €
163800,00	110,160 €
164700,00	109,916 €
165600,00	89,188 €
166500,00	89,188 €
167400,00	89,516 €
168300,00	90,656 €
169200,00	89,188 €
170100,00	88,292 €
171000,00	92,128 €
171900,00	88,780 €
172800,00	90,248 €
173700,00	93,760 €
174600,00	87,476 €
175500,00	88,616 €
176400,00	88,292 €
177300,00	89,432 €
178200,00	88,700 €
179100,00	88,292 €
180000,00	89,760 €
180900,00	89,272 €
181800,00	87,884 €
182700,00	88,864 €
183600,00	90,496 €
184500,00	87,232 €
185400,00	88,700 €
186300,00	90,248 €
187200,00	87,476 €
188100,00	88,780 €
189000,00	89,272 €
189900,00	88,372 €
190800,00	88,700 €
191700,00	87,556 €
192600,00	90,088 €
193500,00	97,104 €
194400,00	109,916 €
195300,00	109,752 €
196200,00	108,200 €
197100,00	109,508 €
198000,00	109,508 €
198900,00	108,284 €
199800,00	110,324 €
200700,00	109,180 €
201600,00	109,996 €
202500,00	109,832 €
203400,00	108,936 €
204300,00	109,916 €
205200,00	109,588 €
206100,00	108,200 €
207000,00	109,832 €
207900,00	108,936 €
208800,00	109,424 €
209700,00	109,672 €
210600,00	108,528 €
211500,00	110,324 €
212400,00	109,588 €
213300,00	108,608 €
214200,00	110,404 €
215100,00	109,016 €
216000,00	108,692 €
216900,00	111,304 €
217800,00	108,772 €
218700,00	108,120 €
219600,00	111,220 €
220500,00	108,040 €
221400,00	109,180 €
222300,00	111,056 €
223200,00	107,876 €
224100,00	110,240 €
225000,00	109,832 €
225900,00	109,100 €
226800,00	110,404 €
227700,00	113,016 €
228600,00	109,344 €
229500,00	107,792 €
230400,00	42,676 €
231300,00	41,616 €
232200,00	39,740 €
233100,00	42,512 €
234000,00	56,956 €
234900,00	47,408 €
235800,00	50,836 €
236700,00	43,492 €
237600,00	44,552 €
238500,00	45,860 €
239400,00	39,740 €
240300,00	46,184 €
241200,00	41,536 €
242100,00	43,656 €
243000,00	43,412 €
243900,00	44,392 €
244800,00	39,984 €
245700,00	46,676 €
246600,00	40,636 €
247500,00	43,412 €
248400,00	42,676 €
249300,00	43,820 €
250200,00	40,392 €
251100,00	46,104 €
252000,00	19,748 €
252900,00	23,664 €
253800,00	22,684 €
254700,00	21,136 €
255600,00	20,072 €
256500,00	19,828 €
257400,00	16,728 €
258300,00	21,296 €
259200,00	19,584 €
260100,00	17,136 €
261000,00	19,748 €
261900,00	21,704 €
262800,00	16,892 €
263700,00	18,440 €
264600,00	19,584 €
265500,00	20,320 €
266400,00	19,504 €
267300,00	18,768 €
268200,00	16,892 €
269100,00	18,440 €
270000,00	18,440 €
270900,00	17,056 €
271800,00	18,932 €
272700,00	17,872 €
273600,00	16,892 €
274500,00	18,440 €
275400,00	18,604 €
276300,00	17,464 €
277200,00	20,072 €
278100,00	18,032 €
279000,00	17,464 €
279900,00	32,476 €
280800,00	103,552 €
281700,00	109,752 €
282600,00	108,284 €
283500,00	106,652 €
284400,00	106,160 €
285300,00	108,936 €
286200,00	105,916 €
287100,00	106,568 €
288000,00	108,692 €
288900,00	106,080 €
289800,00	106,568 €
290700,00	109,588 €
291600,00	105,344 €
292500,00	106,488 €
293400,00	108,200 €
294300,00	106,244 €
295200,00	105,836 €
296100,00	108,448 €
297000,00	106,488 €
297900,00	106,652 €
298800,00	106,652 €
299700,00	107,712 €
300600,00	106,568 €
301500,00	106,652 €
302400,00	108,040 €
303300,00	106,652 €
304200,00	106,568 €
305100,00	106,976 €
306000,00	107,712 €
306900,00	106,080 €
307800,00	106,652 €
308700,00	107,548 €
309600,00	17,544 €
310500,00	16,648 €
311400,00	19,912 €
312300,00	17,136 €
313200,00	17,136 €
314100,00	20,728 €
315000,00	16,972 €
315900,00	16,972 €
316800,00	19,748 €
317700,00	17,952 €
318600,00	17,136 €
319500,00	18,688 €
320400,00	19,420 €
321300,00	17,624 €
322200,00	18,360 €
323100,00	18,604 €
324000,00	17,380 €
324900,00	18,280 €
325800,00	18,688 €
326700,00	17,952 €
327600,00	19,664 €
328500,00	17,380 €
329400,00	18,032 €
330300,00	19,504 €
331200,00	17,300 €
332100,00	17,952 €
333000,00	18,116 €
333900,00	22,684 €
334800,00	18,360 €
335700,00	19,340 €
336600,00	18,116 €
337500,00	18,196 €
338400,00	18,032 €
339300,00	19,256 €
340200,00	18,524 €
341100,00	18,440 €
342000,00	18,768 €
342900,00	18,360 €
343800,00	17,788 €
344700,00	17,300 €
345600,00	19,992 €
346500,00	24,888 €
347400,00	26,928 €
348300,00	28,072 €
349200,00	26,684 €
350100,00	25,052 €
351000,00	23,664 €
351900,00	22,112 €
352800,00	21,788 €
353700,00	23,584 €
354600,00	21,952 €
355500,00	22,112 €
356400,00	20,644 €
357300,00	20,644 €
358200,00	18,360 €
359100,00	21,788 €
360000,00	18,116 €
360900,00	20,808 €
361800,00	18,360 €
362700,00	19,096 €
363600,00	18,848 €
364500,00	19,584 €
365400,00	18,524 €
366300,00	19,420 €
367200,00	19,992 €
368100,00	17,216 €
369000,00	19,504 €
369900,00	18,440 €
370800,00	18,604 €
371700,00	17,952 €
372600,00	20,072 €
373500,00	17,380 €
374400,00	20,236 €
375300,00	17,952 €
376200,00	18,768 €
377100,00	18,116 €
378000,00	18,440 €
378900,00	18,524 €
379800,00	18,280 €
380700,00	19,584 €
381600,00	16,648 €
382500,00	19,992 €
383400,00	17,788 €
384300,00	17,872 €
385200,00	19,176 €
386100,00	18,116 €
387000,00	22,604 €
387900,00	19,176 €
388800,00	18,768 €
389700,00	16,972 €
390600,00	20,400 €
391500,00	17,216 €
392400,00	17,952 €
393300,00	19,992 €
394200,00	17,300 €
395100,00	19,340 €
396000,00	18,688 €
396900,00	17,464 €
397800,00	18,604 €
398700,00	18,440 €
399600,00	18,440 €
400500,00	17,624 €
401400,00	18,524 €
402300,00	18,604 €
403200,00	17,544 €
404100,00	20,236 €
405000,00	16,892 €
405900,00	18,116 €
406800,00	20,236 €
407700,00	17,136 €
408600,00	19,256 €
409500,00	19,664 €
410400,00	17,136 €
411300,00	18,604 €
412200,00	19,748 €
413100,00	16,808 €
414000,00	19,012 €
414900,00	19,828 €
415800,00	17,380 €
416700,00	20,480 €
417600,00	17,872 €
418500,00	16,972 €
419400,00	20,156 €
420300,00	18,032 €
421200,00	16,972 €
422100,00	21,544 €
