Zeit;51257426804 (kW)
01.01.2020 00:00;88,048
01.01.2020 00:15;89,188
01.01.2020 00:30;89,76
01.01.2020 00:45;88,456
01.01.2020 01:00;89,352
01.01.2020 01:15;89,352
01.01.2020 01:30;88,944
01.01.2020 01:45;89,188
01.01.2020 02:00;88,78
01.01.2020 02:15;90,496
01.01.2020 02:30;89,352
01.01.2020 02:45;88,616
01.01.2020 03:00;88,536
01.01.2020 03:15;90,412
01.01.2020 03:30;91,228
01.01.2020 03:45;90,332
01.01.2020 04:00;91,72
01.01.2020 04:15;89,108
01.01.2020 04:30;88,536
01.01.2020 04:45;91,8
01.01.2020 05:00;90,004
01.01.2020 05:15;88,372
01.01.2020 05:30;90,576
01.01.2020 05:45;116,444
01.01.2020 06:00;109,588
01.01.2020 06:15;110,976
01.01.2020 06:30;111,548
01.01.2020 06:45;109,1
01.01.2020 07:00;110,404
01.01.2020 07:15;111,14
01.01.2020 07:30;108,772
01.01.2020 07:45;108,936
01.01.2020 08:00;112,036
01.01.2020 08:15;109,016
01.01.2020 08:30;108,772
01.01.2020 08:45;113,18
01.01.2020 09:00;109,588
01.01.2020 09:15;109,344
01.01.2020 09:30;111,956
01.01.2020 09:45;112,772
01.01.2020 10:00;110,08
01.01.2020 10:15;111,548
01.01.2020 10:30;113,344
01.01.2020 10:45;110,896
01.01.2020 11:00;109,996
01.01.2020 11:15;110,976
01.01.2020 11:30;111,14
01.01.2020 11:45;109,18
01.01.2020 12:00;110,16
01.01.2020 12:15;108,608
01.01.2020 12:30;111,14
01.01.2020 12:45;109,672
01.01.2020 13:00;108,448
01.01.2020 13:15;110,732
01.01.2020 13:30;109,832
01.01.2020 13:45;108,608
01.01.2020 14:00;109,996
01.01.2020 14:15;110,648
01.01.2020 14:30;108,12
01.01.2020 14:45;108,856
01.01.2020 15:00;111,792
01.01.2020 15:15;108,04
01.01.2020 15:30;109,18
01.01.2020 15:45;111,14
01.01.2020 16:00;108,12
01.01.2020 16:15;108,772
01.01.2020 16:30;112,28
01.01.2020 16:45;108,284
01.01.2020 17:00;108,936
01.01.2020 17:15;109,996
01.01.2020 17:30;110,812
01.01.2020 17:45;109,18
01.01.2020 18:00;109,996
01.01.2020 18:15;109,016
01.01.2020 18:30;114,484
01.01.2020 18:45;110,324
01.01.2020 19:00;109,016
01.01.2020 19:15;109,916
01.01.2020 19:30;110,404
01.01.2020 19:45;108,692
01.01.2020 20:00;110,568
01.01.2020 20:15;109,996
01.01.2020 20:30;109,916
01.01.2020 20:45;110,812
01.01.2020 21:00;109,832
01.01.2020 21:15;109,588
01.01.2020 21:30;110,812
01.01.2020 21:45;109,672
01.01.2020 22:00;89,188
01.01.2020 22:15;87,8
01.01.2020 22:30;90,904
01.01.2020 22:45;89,76
01.01.2020 23:00;87,72
01.01.2020 23:15;89,84
01.01.2020 23:30;90,332
01.01.2020 23:45;88,048
02.01.2020 00:00;88,372
02.01.2020 00:15;91,392
02.01.2020 00:30;88,616
02.01.2020 00:45;88,128
02.01.2020 01:00;89,432
02.01.2020 01:15;90,168
02.01.2020 01:30;87,312
02.01.2020 01:45;88,944
02.01.2020 02:00;89,024
02.01.2020 02:15;87,72
02.01.2020 02:30;88,944
02.01.2020 02:45;90,004
02.01.2020 03:00;88,78
02.01.2020 03:15;89,272
02.01.2020 03:30;87,8
02.01.2020 03:45;89,352
02.01.2020 04:00;88,7
02.01.2020 04:15;88,128
02.01.2020 04:30;88,616
02.01.2020 04:45;90,088
02.01.2020 05:00;89,188
02.01.2020 05:15;87,64
02.01.2020 05:30;91,964
02.01.2020 05:45;114,728
02.01.2020 06:00;109,016
02.01.2020 06:15;112,12
02.01.2020 06:30;110,16
02.01.2020 06:45;108,692
02.01.2020 07:00;111,14
02.01.2020 07:15;110,732
02.01.2020 07:30;108,364
02.01.2020 07:45;109,424
02.01.2020 08:00;112,036
02.01.2020 08:15;108,364
02.01.2020 08:30;109,424
02.01.2020 08:45;109,672
02.01.2020 09:00;113,752
02.01.2020 09:15;110,08
02.01.2020 09:30;109,752
02.01.2020 09:45;110,324
02.01.2020 10:00;108,936
02.01.2020 10:15;109,588
02.01.2020 10:30;109,588
02.01.2020 10:45;108,936
02.01.2020 11:00;109,752
02.01.2020 11:15;109,996
02.01.2020 11:30;109,672
02.01.2020 11:45;109,344
02.01.2020 12:00;108,772
02.01.2020 12:15;110,812
02.01.2020 12:30;109,424
02.01.2020 12:45;108,04
02.01.2020 13:00;112,12
02.01.2020 13:15;108,936
02.01.2020 13:30;108,04
02.01.2020 13:45;112,036
02.01.2020 14:00;108,772
02.01.2020 14:15;108,448
02.01.2020 14:30;109,508
02.01.2020 14:45;110,08
02.01.2020 15:00;108,772
02.01.2020 15:15;109,588
02.01.2020 15:30;110,404
02.01.2020 15:45;108,772
02.01.2020 16:00;109,752
02.01.2020 16:15;109,832
02.01.2020 16:30;109,832
02.01.2020 16:45;108,772
02.01.2020 17:00;110,404
02.01.2020 17:15;110,16
02.01.2020 17:30;108,608
02.01.2020 17:45;111,14
02.01.2020 18:00;109,832
02.01.2020 18:15;108,528
02.01.2020 18:30;110,896
02.01.2020 18:45;109,996
02.01.2020 19:00;108,528
02.01.2020 19:15;110,08
02.01.2020 19:30;111,14
02.01.2020 19:45;108,284
02.01.2020 20:00;109,996
02.01.2020 20:15;110,976
02.01.2020 20:30;108,856
02.01.2020 20:45;109,832
02.01.2020 21:00;110,976
02.01.2020 21:15;109,264
02.01.2020 21:30;110,16
02.01.2020 21:45;109,916
02.01.2020 22:00;89,188
02.01.2020 22:15;89,188
02.01.2020 22:30;89,516
02.01.2020 22:45;90,656
02.01.2020 23:00;89,188
02.01.2020 23:15;88,292
02.01.2020 23:30;92,128
02.01.2020 23:45;88,78
03.01.2020 00:00;90,248
03.01.2020 00:15;93,76
03.01.2020 00:30;87,476
03.01.2020 00:45;88,616
03.01.2020 01:00;88,292
03.01.2020 01:15;89,432
03.01.2020 01:30;88,7
03.01.2020 01:45;88,292
03.01.2020 02:00;89,76
03.01.2020 02:15;89,272
03.01.2020 02:30;87,884
03.01.2020 02:45;88,864
03.01.2020 03:00;90,496
03.01.2020 03:15;87,232
03.01.2020 03:30;88,7
03.01.2020 03:45;90,248
03.01.2020 04:00;87,476
03.01.2020 04:15;88,78
03.01.2020 04:30;89,272
03.01.2020 04:45;88,372
03.01.2020 05:00;88,7
03.01.2020 05:15;87,556
03.01.2020 05:30;90,088
03.01.2020 05:45;97,104
03.01.2020 06:00;109,916
03.01.2020 06:15;109,752
03.01.2020 06:30;108,2
03.01.2020 06:45;109,508
03.01.2020 07:00;109,508
03.01.2020 07:15;108,284
03.01.2020 07:30;110,324
03.01.2020 07:45;109,18
03.01.2020 08:00;109,996
03.01.2020 08:15;109,832
03.01.2020 08:30;108,936
03.01.2020 08:45;109,916
03.01.2020 09:00;109,588
03.01.2020 09:15;108,2
03.01.2020 09:30;109,832
03.01.2020 09:45;108,936
03.01.2020 10:00;109,424
03.01.2020 10:15;109,672
03.01.2020 10:30;108,528
03.01.2020 10:45;110,324
03.01.2020 11:00;109,588
03.01.2020 11:15;108,608
03.01.2020 11:30;110,404
03.01.2020 11:45;109,016
03.01.2020 12:00;108,692
03.01.2020 12:15;111,304
03.01.2020 12:30;108,772
03.01.2020 12:45;108,12
03.01.2020 13:00;111,22
03.01.2020 13:15;108,04
03.01.2020 13:30;109,18
03.01.2020 13:45;111,056
03.01.2020 14:00;107,876
03.01.2020 14:15;110,24
03.01.2020 14:30;109,832
03.01.2020 14:45;109,1
03.01.2020 15:00;110,404
03.01.2020 15:15;113,016
03.01.2020 15:30;109,344
03.01.2020 15:45;107,792
03.01.2020 16:00;42,676
03.01.2020 16:15;41,616
03.01.2020 16:30;39,74
03.01.2020 16:45;42,512
03.01.2020 17:00;56,956
03.01.2020 17:15;47,408
03.01.2020 17:30;50,836
03.01.2020 17:45;43,492
03.01.2020 18:00;44,552
03.01.2020 18:15;45,86
03.01.2020 18:30;39,74
03.01.2020 18:45;46,184
03.01.2020 19:00;41,536
03.01.2020 19:15;43,656
03.01.2020 19:30;43,412
03.01.2020 19:45;44,392
03.01.2020 20:00;39,984
03.01.2020 20:15;46,676
03.01.2020 20:30;40,636
03.01.2020 20:45;43,412
03.01.2020 21:00;42,676
03.01.2020 21:15;43,82
03.01.2020 21:30;40,392
03.01.2020 21:45;46,104
03.01.2020 22:00;19,748
03.01.2020 22:15;23,664
03.01.2020 22:30;22,684
03.01.2020 22:45;21,136
03.01.2020 23:00;20,072
03.01.2020 23:15;19,828
03.01.2020 23:30;16,728
03.01.2020 23:45;21,296
04.01.2020 00:00;19,584
04.01.2020 00:15;17,136
04.01.2020 00:30;19,748
04.01.2020 00:45;21,704
04.01.2020 01:00;16,892
04.01.2020 01:15;18,44
04.01.2020 01:30;19,584
04.01.2020 01:45;20,32
04.01.2020 02:00;19,504
04.01.2020 02:15;18,768
04.01.2020 02:30;16,892
