Zeit;51257426804 (kW)
01.01.2020 00:00;116,444
02.01.2020 00:00;114,728
03.01.2020 00:00;113,016
04.01.2020 00:00;109,752
05.01.2020 00:00;107,632
06.01.2020 00:00;366,956
07.01.2020 00:00;330,072
08.01.2020 00:00;340,844
09.01.2020 00:00;338,068
10.01.2020 00:00;330,316
11.01.2020 00:00;28,396
12.01.2020 00:00;96,208
13.01.2020 00:00;380,992
14.01.2020 00:00;385,316
15.01.2020 00:00;367,936
16.01.2020 00:00;387,356
17.01.2020 00:00;304,288
18.01.2020 00:00;124,52
19.01.2020 00:00;104,936
20.01.2020 00:00;316,936
21.01.2020 00:00;347,616
22.01.2020 00:00;305,592
23.01.2020 00:00;361,324
24.01.2020 00:00;340,924
25.01.2020 00:00;107,14
26.01.2020 00:00;126,56
27.01.2020 00:00;370,628
28.01.2020 00:00;331,624
29.01.2020 00:00;358,468
30.01.2020 00:00;312,772
31.01.2020 00:00;337,088
01.02.2020 00:00;26,52
02.02.2020 00:00;119,544
03.02.2020 00:00;324,688
04.02.2020 00:00;317,996
05.02.2020 00:00;304,288
06.02.2020 00:00;356,104
07.02.2020 00:00;340,108
08.02.2020 00:00;24,236
09.02.2020 00:00;74,256
10.02.2020 00:00;356,592
11.02.2020 00:00;348,92
12.02.2020 00:00;345,332
13.02.2020 00:00;344,188
14.02.2020 00:00;303,308
15.02.2020 00:00;25,948
16.02.2020 00:00;99,064
17.02.2020 00:00;313,424
18.02.2020 00:00;293,188
19.02.2020 00:00;313,344
20.02.2020 00:00;296,536
21.02.2020 00:00;316,444
22.02.2020 00:00;24,316
23.02.2020 00:00;96,288
24.02.2020 00:00;246,188
25.02.2020 00:00;309,264
26.02.2020 00:00;329,908
27.02.2020 00:00;325,42
28.02.2020 00:00;327,704
29.02.2020 00:00;41,288
01.03.2020 00:00;98,328
02.03.2020 00:00;322,156
03.03.2020 00:00;323,624
04.03.2020 00:00;301,84
05.03.2020 00:00;299,552
06.03.2020 00:00;270,504
07.03.2020 00:00;23,336
08.03.2020 00:00;93,188
09.03.2020 00:00;343,78
10.03.2020 00:00;308,528
11.03.2020 00:00;304,612
12.03.2020 00:00;288,456
13.03.2020 00:00;286,66
14.03.2020 00:00;25,784
15.03.2020 00:00;97,268
16.03.2020 00:00;318,976
