Koordinatensystem : Lambert konform konisch
Rechtswert        : 3732500 Meter
Hochwert          : 2677500 Meter
Hoehenlage        : 165 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3732500 2677500  1  1  1  -0.0  992 149  1.5 6  3.5  91    0    0 309 -347  0
3732500 2677500  1  1  2   0.5  992 133  1.4 7  3.6  90    0    0 305 -347  0
3732500 2677500  1  1  3   1.0  991 173  1.4 7  3.7  90    0    0 293 -347  0
3732500 2677500  1  1  4   1.2  992 181  1.4 7  3.8  90    0    0 288 -348  0
3732500 2677500  1  1  5   1.5  992 212  1.7 7  3.9  91    0    0 300 -348  0
3732500 2677500  1  1  6   1.6  992 160  1.6 8  3.9  91    0    0 314 -348  0
3732500 2677500  1  1  7   2.1  991 200  2.8 7  4.0  90    0    0 307 -347  0
3732500 2677500  1  1  8   2.1  990 229  3.3 8  4.0  88    0    0 307 -344  0
3732500 2677500  1  1  9   1.9  989 201  4.3 7  3.9  86    0    0 306 -341  0
3732500 2677500  1  1 10   2.1  988 200  3.2 7  3.8  84    9   44 299 -342  0
3732500 2677500  1  1 11   3.2  987 180  4.6 6  4.0  85   15   87 295 -346  0
3732500 2677500  1  1 12   5.2  986 189  6.9 7  4.5  86    0   58 301 -351  0
3732500 2677500  1  1 13   6.1  984 200  8.6 7  5.0  85    0   48 315 -353  0
3732500 2677500  1  1 14   6.5  982 200 10.3 8  5.2  86    0   44 325 -353  0
3732500 2677500  1  1 15   7.1  980 210  8.7 8  5.5  86    0   31 335 -354  0
3732500 2677500  1  1 16   8.2  978 200  8.1 8  5.7  85    0   16 339 -354  0
3732500 2677500  1  1 17   8.3  976 201  9.2 8  6.0  85    0    4 341 -354  0
3732500 2677500  1  1 18   8.8  975 201  8.6 8  6.2  86    0    0 342 -356  0
3732500 2677500  1  1 19   9.6  974 220  9.0 8  6.3  83    0    0 345 -358  0
3732500 2677500  1  1 20   9.6  974 220  9.1 8  6.5  84    0    0 348 -360  0
3732500 2677500  1  1 21   9.7  973 211  8.2 8  6.7  87    0    0 350 -362  0
