Koordinatensystem : Lambert konform konisch
Rechtswert        : 3732500 Meter
Hochwert          : 2677500 Meter
Hoehenlage        : 165 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3732500 2677500  1  1  1   1.3 1003 250  2.2 7  4.2 100    0    0 286 -282  0
3732500 2677500  1  1  2   1.3 1003 240  3.3 7  4.2 100    0    0 286 -283  0
3732500 2677500  1  1  3   1.6 1003 260  2.6 7  4.2 100    0    0 286 -283  0
3732500 2677500  1  1  4   1.6 1002 240  2.7 7  4.3  99    0    0 285 -285  0
3732500 2677500  1  1  5   1.8 1002 250  3.4 7  4.3 100    0    0 285 -286  0
3732500 2677500  1  1  6   2.0 1002 240  3.6 8  4.3  98    0    0 288 -288  0
3732500 2677500  1  1  7   2.1 1001 250  3.4 8  4.3  96    0    0 293 -291  0
3732500 2677500  1  1  8   1.9 1001 260  3.6 8  4.3  98    0    0 294 -296  0
3732500 2677500  1  1  9   2.0 1001 250  3.6 8  4.4 100    0    0 295 -299  0
3732500 2677500  1  1 10   2.0 1001 250  3.5 8  4.4  99    0   18 298 -302  0
3732500 2677500  1  1 11   2.2 1001 250  3.7 8  4.4  98    0   38 299 -304  0
3732500 2677500  1  1 12   2.5 1001 240  4.1 7  4.4  97    0   63 295 -307  0
3732500 2677500  1  1 13   2.5 1001 250  4.7 7  4.5  97    0   62 289 -309  0
3732500 2677500  1  1 14   2.3 1000 250  4.0 8  4.4  97    0   47 294 -311  0
3732500 2677500  1  1 15   2.2 1000 260  4.0 8  4.4  96    0   36 298 -313  0
3732500 2677500  1  1 16   2.1 1000 260  4.0 6  4.4  97    0   14 286 -314  0
3732500 2677500  1  1 17   1.9 1000 270  3.5 8  4.3  98    0    0 286 -315  0
3732500 2677500  1  1 18   2.0 1000 310  2.8 8  4.3  98    0    0 300 -316  0
3732500 2677500  1  1 19   1.9 1001 310  3.0 6  4.3  98    0    0 288 -316  0
3732500 2677500  1  1 20   1.6 1001 320  2.4 8  4.3  99    0    0 288 -316  0
3732500 2677500  1  1 21   1.3 1001 310  2.5 8  4.3 100    0    0 298 -314  0
3732500 2677500  1  1 22   1.4 1001 320  2.4 7  4.2  99    0    0 291 -310  0
3732500 2677500  1  1 23   1.2 1002 320  2.2 7  4.1  98    0    0 285 -302  0
3732500 2677500  1  1 24   1.0 1002 320  2.4 6  4.1  98    0    0 277 -295  0
3732500 2677500  1  2  1   0.4 1002 310  2.0 6  3.9  98    0    0 270 -291  0
3732500 2677500  1  2  2   0.4 1002 310  2.3 6  3.8  98    0    0 268 -288  0
3732500 2677500  1  2  3   0.5 1002 310  2.3 8  3.8  97    0    0 277 -286  0
3732500 2677500  1  2  4   0.4 1002 300  2.5 8  3.8  96    0    0 286 -286  0
3732500 2677500  1  2  5   0.4 1002 300  2.6 8  3.8  95    0    0 284 -285  0
3732500 2677500  1  2  6   0.2 1002 310  2.6 7  3.7  95    0    0 276 -285  0
3732500 2677500  1  2  7   0.0 1003 280  2.8 7  3.7  95    0    0 270 -285  0
3732500 2677500  1  2  8  -0.5 1003 280  3.1 6  3.6  95    0    0 263 -287  0
3732500 2677500  1  2  9  -0.7 1003 250  2.6 6  3.5  96    0    2 256 -290  0
3732500 2677500  1  2 10   0.2 1003 260  3.4 7  3.6  95    9   29 261 -292  0
3732500 2677500  1  2 11   0.9 1004 260  3.5 6  3.6  91    3   53 263 -294  0
3732500 2677500  1  2 12   1.3 1004 260  3.4 6  3.7  88    0   69 260 -297  0
3732500 2677500  1  2 13   1.3 1004 260  3.2 7  3.7  88    0   75 266 -300  0
3732500 2677500  1  2 14   1.1 1004 260  3.4 7  3.8  91    0   55 272 -303  0
3732500 2677500  1  2 15   1.2 1004 260  4.2 4  3.9  93    9   59 259 -305  0
3732500 2677500  1  2 16   1.0 1004 270  3.7 7  3.9  93   13   25 260 -305  0
3732500 2677500  1  2 17   0.9 1004 270  3.4 6  3.9  94    0    0 269 -303  0
3732500 2677500  1  2 18   0.4 1004 270  3.7 5  3.8  95    0    0 258 -300  0
3732500 2677500  1  2 19   0.5 1004 260  4.0 7  3.8  97    0    0 262 -299  0
3732500 2677500  1  2 20   0.6 1004 270  4.0 8  3.9  99    0    0 276 -299  0
3732500 2677500  1  2 21   0.5 1005 270  4.1 8  3.9  99    0    0 279 -299  0
3732500 2677500  1  2 22   0.3 1005 270  3.3 7  3.8  98    0    0 272 -299  0
3732500 2677500  1  2 23   0.2 1005 259  4.0 8  3.8  98    0    0 270 -298  0
3732500 2677500  1  2 24   0.3 1005 269  4.2 8  3.8  97    0    0 274 -297  0
3732500 2677500  1  3  1   0.1 1005 269  3.8 8  3.7  96    0    0 273 -296  0
3732500 2677500  1  3  2   0.1 1004 259  3.3 8  3.7  96    0    0 272 -295  0
3732500 2677500  1  3  3   0.1 1004 250  3.2 8  3.7  96    0    0 271 -295  0
3732500 2677500  1  3  4  -0.3 1004 259  3.0 7  3.6  96    0    0 266 -294  0
3732500 2677500  1  3  5  -0.3 1004 240  2.9 7  3.6  97    0    0 259 -293  0
3732500 2677500  1  3  6   0.0 1004 259  2.8 8  3.7  97    0    0 263 -293  0
3732500 2677500  1  3  7   0.1 1004 259  3.3 7  3.7  96    0    0 262 -293  0
3732500 2677500  1  3  8   0.2 1004 259  3.1 8  3.7  96    0    0 262 -293  0
3732500 2677500  1  3  9   0.1 1004 259  2.5 8  3.7  96    0    0 267 -293  0
3732500 2677500  1  3 10   0.2 1004 269  3.0 8  3.7  96   19   26 266 -291  0
3732500 2677500  1  3 11   0.7 1004 230  2.4 7  3.7  94   19   61 260 -292  0
3732500 2677500  1  3 12   0.9 1004 240  3.3 8  3.8  93    2   75 261 -295  0
3732500 2677500  1  3 13   1.1 1004 259  3.7 8  3.8  91    0   61 265 -298  0
3732500 2677500  1  3 14   1.1 1004 240  3.4 7  3.7  90    2   70 259 -301  0
3732500 2677500  1  3 15   0.5 1003 221  2.2 8  3.8  93    2   56 258 -301  0
3732500 2677500  1  3 16   1.0 1003 241  1.9 7  3.9  95    0   16 257 -300  0
3732500 2677500  1  3 17   0.9 1003 230  3.3 7  3.8  94    0    0 254 -297  0
3732500 2677500  1  3 18   0.7 1003 249  2.6 7  3.8  94    0    0 257 -295  0
3732500 2677500  1  3 19   0.6 1003 230  2.7 8  3.8  94    0    0 262 -293  0
3732500 2677500  1  3 20   0.7 1002 230  2.9 8  3.8  94    0    0 268 -294  0
3732500 2677500  1  3 21   0.8 1002 220  2.6 8  3.8  93    0    0 270 -294  0
3732500 2677500  1  3 22   0.6 1002 239  3.2 8  3.8  93    0    0 269 -293  0
3732500 2677500  1  3 23   0.5 1002 220  2.4 8  3.7  93    0    0 268 -293  0
3732500 2677500  1  3 24   0.5 1002 220  2.9 8  3.7  92    0    0 268 -291  0
3732500 2677500  1  4  1   0.4 1001 230  3.0 7  3.6  92    0    0 265 -290  0
3732500 2677500  1  4  2   0.1 1001 220  2.9 7  3.6  92    0    0 264 -288  0
3732500 2677500  1  4  3  -0.3 1001 211  3.1 8  3.5  93    0    0 268 -288  0
3732500 2677500  1  4  4  -0.6 1000 220  3.2 6  3.4  92    0    0 263 -288  0
3732500 2677500  1  4  5  -0.8 1000 210  3.1 5  3.4  92    0    0 255 -288  0
3732500 2677500  1  4  6  -0.7 1000 220  3.4 5  3.4  92    0    0 251 -288  0
3732500 2677500  1  4  7  -0.9  999 181  2.1 7  3.3  91    0    0 254 -288  0
3732500 2677500  1  4  8  -0.7  999 220  3.7 7  3.2  89    0    0 258 -287  0
3732500 2677500  1  4  9  -1.2  999 210  3.7 5  3.2  88    0    7 253 -287  0
3732500 2677500  1  4 10  -1.1  999 199  3.3 4  3.1  87   59   18 245 -287  0
3732500 2677500  1  4 11   0.0  999 190  4.0 2  3.1  83   91   44 240 -288  0
3732500 2677500  1  4 12   0.7  999 190  3.6 3  3.0  77   90   74 239 -291  0
3732500 2677500  1  4 13   0.7  998 210  4.0 3  3.0  73   56   99 239 -293  0
